id,type,company,provider,product,employee_number,market_share,location
0,INFRASTRUCTURE_SERVICE_HOSTING,Microsoft,Azure,Azure,131000,16.5,"iowa, virginia, illinois, texas, washington, wyoming, california,canada , brazil , ireland, netherlands, france , uk , germany , switzerland , norway,
hong kong, singapore, australia , china , india , japan , south korea , south africa , uae"
1,INFRASTRUCTURE_SERVICE_HOSTING,Amazon,AWS,AWS,647000,32.3,"seattle, washington, san jose, california, poughkeepsie, new york, ashburn, virginia, raleigh, north carolina, dallas, texas, houston, texas, canada , mexico , brazil , spain , france , germany , italy , norway , uk,  switzerland , netherlands , india , singapore , china , south korea , japan , australia"
2,INFRASTRUCTURE_SERVICE_HOSTING,IBM,IBM Cloud Platform,IBM Cloud Platform,366000,3.6,"seattle, san jose, poughkeepsie, ashburn, raleigh, dallas, houston,canada , mexico , brazil , spain , france , germany , italy , norway , uk , switzerland , netherlands , india , singapore , china , south korea , japan , australia"
3,INFRASTRUCTURE_SERVICE_HOSTING,Google,GCP,GCP,99000,9.5,"oregon, california, iowa, south carolina, virginia,canada , brazil , uk , belgium, netherlands,switzerland , germany , finland, india , singapore , china , taiwan,japan , australia"
4,INFRASTRUCTURE_SERVICE_HOSTING,Salesforce,Salesforce,aPaaS,35000,,"chicago, illinois, dallas, texas, phoenix, arizona, washington d c, maryland
,uk , germany , france , japan"
5,INFRASTRUCTURE_SERVICE_HOSTING,Oracle,Oracle,OCP,137000,,"phoenix, arizona, ashburn, virginia, chicago, illinois,canada , brazil , uk , switzerland , germany , saudi arabia, india , south korea , japan , australia"
6,INFRASTRUCTURE_SERVICE_HOSTING,Rackspace,Rackspace,Rackspace,4000,,"los angeles, california, dallas, texas, chicago, illinois, kansas city, missouri, washington d c, maryland, new york, new york,brazil, uk , france, russia , singapore, hong kong, china , australia"
7,INFRASTRUCTURE_SERVICE_HOSTING,SAP,SAP Cloud Platform,SAP Cloud Platform,96000,,"ashburn, virginia, chandler, arizona, santa clara, california, san jose, california, atlanta, georgia, dallas, texas, chicago, illinois, sterling, virginia, colorado springs, colorado, lynwood, california, newtown square, pennsylvania, waltham, massachusetts, pittsburgh, pennsylvania, elk grove village, illinois,canada , brazil , germany , switzerland , netherlands , france , russia , saudi arabia , uae , china , japan , australia"
8,INFRASTRUCTURE_SERVICE_EMAIL,Google,GSuite,GSuite,99000,36.77,"oregon, california, iowa, south carolina, virginia,canada , brazil , uk , belgium, netherlands,switzerland , germany , finland, india , singapore , china , taiwan,japan , australia"
9,INFRASTRUCTURE_SERVICE_EMAIL,Microsoft,Microsoft 365,Microsoft 365,131000,20.47,"iowa, virginia, illinois, texas, washington, wyoming, california,canada , brazil , ireland, netherlands, france , uk , germany , switzerland , norway, hong kong, singapore, australia , china , india , japan , south korea , south africa , uae"
10,INFRASTRUCTURE_SERVICE_EMAIL,Zoho,Zoho,Zoho Workplace,8000,,"new york, california, netherlands , ireland , india"
11,INFRASTRUCTURE_SERVICE_EMAIL,GoDaddy,GoDaddy Email,GoDaddy Email,9000,16.39,"phoenix, arizona, scottsdale, los angeles, california, chicago, illinois, ashburn, virginia,
netherlands , singapore"
12,INFRASTRUCTURE_SERVICE_EMAIL,RackSpace,Rackspace Webmail,Rackspace Webmail,4000,,"los angeles, california, dallas, texas, chicago, illinois, kansas city, missouri, washington d c, maryland, new york, new york,brazil, uk , france, russia , singapore, hong kong, china , australia"
13,INFRASTRUCTURE_SERVICE_EMAIL,Intermedia,Intermedia Exchange,Intermedia Exchange,1000,,"mountain view, california, seattle, washington, irvine, california,uk , australia , russia"
14,INFRASTRUCTURE_SERVICE_DNS,Cloudflare,Cloudflare DNS,Cloudflare DNS,1000,17.3,"ashburn, virginia, atlanta, georgia, boston, massachusetts, buffalo, new york, calgary, california, charlotte, north carolina, chicago, illinois, columbus, ohio, dallas, texas, denver, colorado, detroit, michigan, houston, texas, indianapolis, indiana, jacksonville, alabama, kansas city, missouri, las vegas, nevada, los angeles, california, mcallen, texas, memphis, tennessee,miami, colorado, minneapolis, minnesota, montgomery, alabama, nashville, tennessee, newark, new york, norfolk, virginia, omaha, nebraska, philadelphia, pennsylvania, phoenix, arizona, pittsburgh, kansas, portland, oregon, richmond, virginia, sacramento, california, salt lake city, utah, san diego, california, san jose, california, seattle, washington, st louis, missouri, tallahassee, florida, tampa, florida,canada , colombia , argentina , brazil , peru , mexico , ecuador , chile , willemstad , australia , new zealand , jordan , iraq , azerbaijan , lebanon , qatar , uae , kuwait , bahrain , oman , saudi arabia , israel , ramallah, palestinian territories, netherlands , greece , spain , serbia , germany , belgium , romania , hungary , moldova , denmark , ireland , uk , switzerland , sweden , finland , turkey , ukraine , portugal , luxembourg , france , italy , norway , czechia , iceland , latvia , bulgaria , russia , estonia , austria , lithuania , poland , croatia , egypt , south africa , morocco , djibouti, nigeria , angola , kenya , mauritius , réunion, thailand , philippines , india , sri lanka , vietnam , hong kong, pakistan , nepal , macao sar china, japan , cambodia , south korea , taiwan , mongolia , armenia , china"
15,INFRASTRUCTURE_SERVICE_DNS,Amazon,AWS Route 53,AWS Route 53,647000,17.3,"virginia, ohio, oregon, california,canada , brazil , germany , ireland, uk ,france , sweden , hong kong, india , south korea , singapore , australia , japan"
16,INFRASTRUCTURE_SERVICE_DNS,DNSMadeEasy,DNSMadeEasy,Managed DNS,100,,"new york, new york, washington d c, miami, florida, chicago, illinois, seattle, washington, san jose, california, los angeles, california, dallas, texas, uk , germany , netherlands , japan , hong kong, singapore, australia"
17,INFRASTRUCTURE_SERVICE_DNS,Google,Google,"Public DNS (Free), Cloud DNS (Business)",99000,,"oregon, california, iowa, south carolina, virginia,canada , brazil , uk , belgium, netherlands,switzerland , germany , finland, india , singapore , china , taiwan,japan , australia"
18,INFRASTRUCTURE_SERVICE_DNS,Oracle,Oracle,Dyn,137000,,"phoenix, arizona, ashburn,canada , uk , germany , south korea , japan"
19,INFRASTRUCTURE_SERVICE_DNS,GoDaddy,GoDaddy DNS,GoDaddy DNS,9000,,"phoenix, arizona, scottsdale, los angeles, california, chicago, illinois, ashburn, virginia
,netherlands , singapore"
20,INFRASTRUCTURE_SERVICE_DNS,Cisco,Cisco,openDNS (Free) Umbrella (Business),74000,,"ashburn, virginia, atlanta, georgia, chicago, illinois,denver, colorado, dallas, texas,los angeles, california, miami, florida, new york, new york, palo alto, california, seattle, washington
,canada , netherlands , france , denmark , ireland , germany , uk , italy , romania , czechia , poland , uae , hong kong, south africa , australia , india , japan , singapore"
21,INFRASTRUCTURE_SERVICE_DNS,NS1,NS1,Managed DNS,100,,"new york, ashburn, virginia, atlanta, georgia, miami, florida, chicago, illinois, dallas, texas, denver, colorado, seattle, washington, san jose, california, los angeles, california, 
brazil, canada , brazil , france , netherlands , germany , romania , finland , south africa , india , japan , hong kong, singapore, australia"
22,INFRASTRUCTURE_SERVICE_DNS,Akamai,Akamai,Fast DNS,8000,8.5,"cambridge, massachusetts, atlanta, georgia, bellevue, washington, chicago, illinois, denver, colorado, fort lauderdale, florida, new york, new york, pasadena, california, portland, oregon, reston, virginia, san diego, california, san francisco, california, santa clara, california, santa monica, california, washington d c, westford, massachusetts,mexico, brazil, canada , costa rica , israel , uk , czechia , denmark , france , germany , italy , netherlands , poland , spain , sweden , switzerland , uae , singapore, malaysia , australia , china , hong kong, india , japan , south korea , taiwan"
23,INFRASTRUCTURE_SERVICE_DNS,Neustar,Neustar,Ultra DNS,2000,3,"california, new york, texas, illinois, virginia, florida,
china, hong kong, uk, south africa, luxembourg, india, australia"
24,INFRASTRUCTURE_SERVICE_DNS,Microsoft,Azure DNS,Azure DNS,131000,,"iowa, virginia, illinois, texas, washington, wyoming, california,canada , brazil , ireland, netherlands, france , uk , germany , switzerland , norway, hong kong, singapore, australia , china , india , japan , south korea , south africa , uae"
25,INFRASTRUCTURE_SERVICE_CRM,Salesforce,Sales Cloud,Sales Cloud,35000,16.8,"chicago, illinois, dallas, texas, phoenix, arizona, washington d c, maryland, 
uk , germany , france , japan"
26,INFRASTRUCTURE_SERVICE_CRM,Microsoft,Dynamics CRM,Dynamics CRM,131000,3.4,"iowa, virginia, illinois, texas, washington, wyoming, california,canada , brazil , ireland, netherlands, france , uk , germany , switzerland , norway, hong kong, singapore, australia , china , india , japan , south korea , south africa , uae"
27,INFRASTRUCTURE_SERVICE_CRM,SAP,SAP CRM,SAP CRM,96000,5.6,"ashburn, virginia, chandler, arizona, santa clara, california, san jose, california, atlanta, georgia, dallas, texas, chicago, illinois, sterling, virginia, colorado springs, colorado, lynwood, california, newtown square, pennsylvania, waltham, massachusetts, pittsburgh, pennsylvania, elk grove village, illinois,canada , brazil , germany , switzerland , netherlands , france , russia , saudi arabia , uae , china , japan , australia"
28,INFRASTRUCTURE_SERVICE_CRM,Oracle,Oracle Engagement Cloud,Oracle Engagement Cloud,137000,5.7,"phoenix, arizona, ashburn, virginia, chicago, illinois,canada , brazil , uk , switzerland , germany , saudi arabia, india , south korea , japan , australia"
29,INFRASTRUCTURE_SERVICE_CRM,Zoho,Zoho CRM,Zoho CRM,8000,,"new york, california,
netherlands , ireland , india"
30,INFRASTRUCTURE_SERVICE_CRM,IBM,IBM Marketing Cloud,IBM Marketing Cloud,366000,,"seattle, san jose, poughkeepsie, ashburn, raleigh, dallas, houston,canada , mexico , brazil , spain , france , germany , italy , norway , uk , switzerland , netherlands , india , singapore , china , south korea , japan , australia"
31,INFRASTRUCTURE_SERVICE_CONTENT_DELIVERY_NETWORK,Amazon,AWS Cloudfront,AWS Cloudfront,647000,,"virginia, ohio, oregon, california,canada , brazil , germany , ireland, uk ,france , sweden , hong kong, india , south korea , singapore , australia , japan , china"
32,INFRASTRUCTURE_SERVICE_CONTENT_DELIVERY_NETWORK,Google,Google,Cloud CDN,99000,,"oregon, california, iowa, south carolina, virginia,canada , brazil , uk , belgium, netherlands,switzerland , germany , finland, india , singapore , china , taiwan,japan , australia"
33,INFRASTRUCTURE_SERVICE_CONTENT_DELIVERY_NETWORK,Cloudflare,Cloudflare CDN,Cloudflare CDN,1000,,"ashburn, virginia, atlanta, georgia, boston, massachusetts, buffalo, new york, calgary, california, charlotte, north carolina, chicago, illinois, columbus, ohio, dallas, texas, denver, colorado, detroit, michigan, houston, texas, indianapolis, indiana, jacksonville, alabama, kansas city, missouri, las vegas, nevada, los angeles, california, mcallen, texas, memphis, tennessee,miami, colorado, minneapolis, minnesota, montgomery, alabama, nashville, tennessee, newark, new york, norfolk, virginia, omaha, nebraska, philadelphia, pennsylvania, phoenix, arizona, pittsburgh, kansas, portland, oregon, richmond, virginia, sacramento, california, salt lake city, utah, san diego, california, san jose, california, seattle, washington, st louis, missouri, tallahassee, florida, tampa, florida,canada , colombia , argentina , brazil , peru , mexico , ecuador , chile , willemstad , australia , new zealand , jordan , iraq , azerbaijan , lebanon , qatar , uae , kuwait , bahrain , oman , saudi arabia , israel , ramallah, netherlands , greece , spain , serbia , germany , belgium , romania , hungary , moldova , denmark , ireland , uk , switzerland , sweden , finland , turkey , ukraine , portugal , luxembourg , france , italy , norway , czechia , iceland , latvia , bulgaria , russia , estonia , austria , lithuania , poland , croatia , egypt , south africa , morocco , djibouti, nigeria , angola , kenya , mauritius , réunion, thailand , philippines , india , sri lanka , vietnam , hong kong, pakistan , nepal , macao sar china, japan , cambodia , south korea , taiwan , mongolia , armenia , china"
34,INFRASTRUCTURE_SERVICE_CONTENT_DELIVERY_NETWORK,Akamai,Akamai Edge,Akamai Edge,8000,,"cambridge, massachusetts, atlanta, georgia, bellevue, washington, chicago, illinois, denver, colorado, fort lauderdale, florida, new york, new york, pasadena, california, portland, oregon, reston, virginia, san diego, california, san francisco, california, santa clara, california, santa monica, california, washington d c, westford, massachusetts,mexico , brazil , canada , costa rica , israel , uk , czechia , denmark , france , germany , italy , netherlands , poland , spain , sweden , switzerland , uae , singapore, malaysia , australia , china , hong kong, india , japan , south korea , taiwan"
35,INFRASTRUCTURE_SERVICE_CONTENT_DELIVERY_NETWORK,Fastly,Fastly CDN,Fastly CDN,50,,"ashburn, washington, atlanta, georgia, boston, massachusetts, columbus, ohio, dallas, texas, chicago, illinois, denver, colorado, houston, texas, los angeles, california, miami, florida, minneapolis, minnesota, new york, new york, san jose, california, seattle, washington, 
canada , argentina , chile , brazil , netherlands , germany , uk , finland , spain , italy , france , denmark , norway , sweden , south africa , india , hong kong, japan , singapore, uae , australia , new zealand"