company_name,domain,sic_code,location_addresses,revenue,company_name_chinese
Anta Sports,anta.com,3949,China,100000,安踏
Li-Ning,lining.com,3949,China,100000,李宁
Peak Sport Products,m.epeaksport.com,3949,China,100000,匹克
361Àö,361sport.com,3949,China,100000,361度
Taobao,www.taobao.com,,China,100000,淘宝
Tmall,www.tmall.com,,China,100000,天猫
JD.com,jd.com,,China,100000,京东
Suning.com,www.suning.com,,China,100000,苏宁易购
Vipshop,vip.com,,China,100000,唯品会
China Mobile,10086.cn,,China,100000,中国移动
Sino Biopharm,www.sinobiopharm.com/cn,,China,100000,中国生物制药有限公司
China Gas,www.chinagasholdings.com,,China,100000,中国燃气
China Aoyuan Group,aoyuan.com.cn,6500,China,100000,奥园集团
Vanke,vanke.com,6500,China,100000,万科
Evergrande Group,evergrande.com,6500,China,100000,恒大
China Poly Group,poly.com.cn,6500,China,100000,中国保利集团有限公司
Greenland Holdings,www.greenlandsc.com,6500,China,100000,绿地控股集团有限公司
China Resources Land,crland.com.hk,6500,China,100000,华润置地
Longfor Properties,longfor.com,6500,China,100000,龙湖LongForm
Zhong Hai Real Estate,www.coli688.com,6500,China,100000,中海地产
Sunac,sunac.com.cn,6500,China,100000,融创SUNAC
China Fortune Land Development,cfldcn.com,6500,China,100000,华夏幸福CFLD
The Hongkong and Shanghai Banking Corporation,www.hsbc.com.cn,,China,100000,汇丰银行
China Merchants Bank,cmbchina.com,,China,100000,招商银行
Citibank,www.citibank.com.cn,,China,100000,花旗银行
Citic Bank,www.citicbank.com,,China,100000,中信银行
Ping An Insurance,pingan.com,,China,100000,平安财产保险
People's Insurance Company of China,epicc.com.cn,,China,100000,中国人保财险
Taiping Insurance,life.cntaiping.com,,China,100000,太平人寿
Creditease,www.creditease.com,,China,100000,宜信
Ruihua Accounting Firm,www.rhcn,,China,100000,瑞华会计师事务所
Lixin  Accounting Firm,www.bdo.com.cn,,China,100000,立信会计师事务所
Pan-China International,www.pccpa.cn,,China,100000,天健会计师事务所
Dahua Accounting Firm,www.dahua-cpa.com,,China,100000,大华会计师事务所
Hikvision,hikvision.com,,China,100000,海康威视
Yonghui Superstores,yonghui.com.cn,,China,100000,永辉超市
WH Group,wh-group.com,2000,Hong Kong,100000,万州国际(WH Group)
Tingyi (Cayman Islands) Holding Corporation,masterkong.com.cn,2000,China,100000,康师傅(Tingyi)
COFCO Group,cofco.com,2000,China,100000,中粮集团
Bright Food,brightfood.com,2000,China,100000,光明食品
Wuliangye Yibin,wuliangye.com.cn,2000,China,100000,五粮液
Foshan Haitian Flavouring & Food Co,haitian-food.com,2000,China,100000,海天
Hangzhou Wahaha Group,wahaha.com.cn,2000,China,100000,娃哈哈
Yili Group,yili.com,2000,China,100000,伊利
Yurun Group,www.yurun.com,2000,China,100000,雨润
Sanquan Food,sanquan.com,2000,China,100000,三全食品
Kweichow Moutai,moutaichina.com,2000,China,100000,贵州茅台
Youku,www.youku.com,,China,100000,优酷
Sohu,sohu.com,,China,100000,搜狐
iQiyi,www.iqiyi.com,,China,100000,爱奇艺
Baidu,baidu.com,,China,100000,百度
Bilibili,www.bilibili.com,,China,100000,哔哩哔哩
Douban,douban.com,,China,100000,豆瓣
Haier,www.haier.com/cn,,China,100000,海尔
Midea Group,midea.com,,China,100000,美的
Gree Electric,gree.com.cn,,China,100000,格力
TCL Corporation,tcl.com,,China,100000,TCL
Skyworth,skyworth.com,,China,100000,创维
Hisense,hisense.com,,China,100000,海信
Konka Group,konka.com,,China,100000,康佳
NetEase,ir.netease.com,5045,China,100000,"NetEase, Inc."
Ant Financial,www.antfin.com,5045,China,100000,Ant Financial Services Group
Kingsoft,kingsoft.com,5045,China,100000,金山软件
Thunder,www.xunlei.com,5045,China,100000,迅雷
Qihoo 360,360.cn,5045,China,100000,奇虎360
Lenovo,lenovo.com.cn,5045,China,100000,联想
DiDi,www.didiglobal.com,5045,China,100000,滴滴出行
Sina Corp,www.sina.com.cn,5045,China,100000,新浪
Meitua ,www.meituan.com,5045,China,100000,美团
ByteDance,bytedance.com,5045,China,100000,字节跳动
Xiaomi,www.mi.com,,China,100000,小米
Vivo,www.vivo.com,,China,100000,VIVO
Oppo,oppo.com/en,,China,100000,OPPO
Yantai Dongrun,www.cndongrun.com,,China,100000,烟台东润仪表有限公司
Supcon,www.supcontech.com,,China,100000,浙江中控技术股份有限公司
Chint Group,www.chint.com,,China,100000,正泰集团
Dahua,dahuatech.com,,China,100000,浙江大华技术股份有限公司
Tianneng Energy,www.tianneng.com.hk,,China,100000,天能动力
Xi'an LONGI Silicon Materials,longigroup.com,,China,100000,隆基股份
Luxshare Precision,luxshare-ict.com,,China,100000,立讯精密
Rongsheng Petro Chemical,cnrspc.com,,China,100000,荣盛石化
SF Express,sf-express.com,7330,China,100000,顺丰速运
YTO Express Group Co,yto.net.cn,7330,China,100000,圆通速递
STO Express Co,sto.cn,7330,China,100000,申通快递
Yunda Express,yundaex.com,7330,China,100000,韵达快递
ZTO Express,zto.com,7330,China,100000,中通快递
Jiangsu Hengrui Medicine,hrs.com.cn,,China,100000,江苏恒瑞医药
Shandong Buchang Pharma,buchang.com,,China,100000,山东步长制药
Fosun Pharmaceutical,fosunpharma.com,,China,100000,复星医药
Shenzhou International Group Holdings Ltd.,shenzhouintl.com,,China,100000,申洲国际集团控股有限公司
Geely,zgh.com,,China,100000,吉利控股集团
Amer International Group,www.amer.com.cn,,China,100000,正威国际集团
HLA,www.hlamall.cn,,China,100000,海澜之家
Sunny Optical Technology (Group) Company Ltd.,sunnyoptical.com,,China,100000,舜宇光学科技
TSINGHUA UNIGROUP CO.,unigroup.com.cn,,China,100000,紫光集团
Hong Kong Television Network Ltd,hktv.com,,Hong Kong,100000,香港电视
Hong Wei Asia Holdings,hongweiasia.com,,Hong Kong,100000,鸿伟(亚洲)控股有限公司
AsiaPay,www.asiapay.com,,Hong Kong,100000,AsiaPay
Prenetics,prenetics.com,,Hong Kong,100000,Prenetics
Acqua Media Limited,acquamedia.com.hk,,Hong Kong,100000,Acqua Media
Cheung Kong Holdings,www.ckah.com,6500,Hong Kong,100000,长江实业
Hutchison Whampoa,hutchison-whampoa.com,,Hong Kong,100000,和记黄埔有限公司
Sun Hung Kai Properties,www.shk,6500,Hong Kong,100000,新鸿基地产发展有限公司
Henderson Land Development,hld.com,6500,Hong Kong,100000,恒基兆业地产有限公司
AfterShip,aftership.com,7330,Hong Kong,100000,AfterShip